Frame,Reps,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Form Quality
0,0,167.8679132699189,173.03055952889335,177.25031974579898,178.9099935667165,100
1,0,167.7259341421911,173.1481707712527,177.4225358125095,178.83738136724978,100
2,0,167.43426652316887,173.20862156606756,177.30951719242262,178.83938025061445,100
3,0,167.088063190411,173.20041628054048,176.86016822187275,179.17528605671632,100
4,0,166.61821718336816,172.99952767269585,176.2117259604975,179.56560613678377,100
5,0,166.3604586824285,172.47604383849125,175.70998684190803,178.92645388576446,100
6,0,165.84168867906422,171.85890343890222,174.70039573625345,178.0485041302449,100
7,0,165.56447689548645,171.09407220251543,174.31405696182006,176.93063271100576,100
8,0,164.84778168700217,170.41105062651474,173.479315007753,175.88010569937623,100
9,0,164.435027903843,169.80790835982089,172.5904947724953,175.16902569801732,100
10,0,164.0976381978954,169.37519069251422,171.86752503675703,174.5436769739103,100
11,0,164.09332857989025,168.80470346096783,171.38463013607753,173.72331217396297,100
12,0,163.88573017146783,168.16874642482324,170.6636289359457,172.7273846446113,100
13,0,163.5822063203804,167.2660803431516,169.58402633016286,171.24977244950776,100
14,0,163.44797740738395,165.96034899837287,168.74311422159894,169.31263931254676,100
15,0,162.73311119716936,165.30554574191703,167.4939884224628,168.5721034159841,100
16,0,161.97098218379568,164.551944010874,166.26685096826478,167.62115921113516,100
17,0,161.34251572376837,163.89407780993074,165.37284371391033,166.9121580293525,100
18,0,160.30454739633288,163.28798358664125,163.6776052462262,166.13590028950946,100
19,0,159.79521685878493,162.63321391255758,162.63088149199527,165.37388684105005,100
20,0,159.16090893437638,161.95441021639328,161.9422613057268,164.38601562408712,100
21,0,158.22114490752088,161.26856148508514,161.00781038801057,163.29940605247353,100
22,0,156.98966351961164,160.77144861192497,159.8630373777869,162.75020230191356,100
23,0,155.61984556988392,160.30657990926684,158.5658134274585,162.1937079597234,100
24,0,154.68640232805598,160.04675969182958,157.91164339681632,161.71984520214883,100
25,0,154.56338130163195,160.0223962912528,158.12661276130962,161.52385303762478,100
26,0,154.66816271999076,160.18214510786166,158.63148646631743,161.54115660775457,100
27,0,155.2227578185007,160.56104130852864,159.67204863224663,161.78372117232342,100
28,0,155.7956891049166,161.17258586560172,160.54535797087797,162.35120553650341,100
29,0,156.28055124855308,161.90136675321764,161.3705498007315,163.3117973282817,100
30,0,156.56424984588702,162.48608888789337,161.63553766184083,163.98423939891035,100
31,0,157.63090469708638,163.73799079134017,162.67601770550593,165.3022939349636,100
32,0,158.89876118850023,164.96806578793496,163.84847544894743,166.69235739665643,100
33,0,160.5398117455949,166.4036714563888,165.44458246386617,168.6503871754452,100
34,0,161.91953567182608,167.4825032175181,167.03345344018703,170.3575167365536,100
35,0,162.84379627730544,167.87478860318987,168.1495272466512,171.48753011443716,100
36,0,163.8525967660627,168.24352845272963,169.3001291459377,172.25438991032343,100
37,0,164.84832935261613,168.72009328935167,170.08377035851325,172.990236563161,100
38,0,165.4393246063707,169.0495352977124,170.67612737144228,173.3472185147726,100
39,0,166.14462687916904,169.4372732805571,171.1443777642569,173.6744030398758,100
40,0,166.36284609924388,169.60301316561007,171.45639818322093,173.86077112626214,100
41,0,166.74087800951907,169.61868377459018,171.84312168634915,173.97539658797558,100
42,0,167.01627957260277,169.79041615727527,172.2852372597102,174.17476093516953,100
43,0,167.45487166956696,169.92607351057356,172.96366920329208,174.37611188781358,100
44,0,167.9841786247597,170.07681429097224,173.78432567684655,174.9334972752874,100
45,0,168.42367964434388,170.3568871446902,174.75214508860984,175.77212471379858,100
46,0,168.86813159979533,170.60357550034647,175.52238663675598,176.32213111835475,100
47,0,168.90557302584472,170.88798793083131,176.08569920964823,176.87024485566684,100
48,0,168.98388939719746,171.19284927601257,176.68162858458172,177.23651726288745,100
49,0,168.98311884459378,171.62980699178993,177.15678514154737,177.83364442182395,100
50,0,169.0796176859698,172.12639649150591,177.70368894423598,178.59655174851176,100
51,0,169.44291661785306,172.50245776044588,178.170797469513,179.32697597690822,100
52,0,169.9481218848901,172.79568358671483,178.7948285576881,179.53476377436692,100
53,0,170.26143891972802,173.01208272717773,179.1057504790713,179.05440799966985,100
54,0,170.62953018168955,173.16193414325792,179.59128001828043,178.69570704296237,100
55,0,170.69542493001137,173.2682209151099,179.59851963669092,178.31339583086196,100
56,0,170.85974027762506,173.31404796408546,179.4459216225067,178.02050598879416,100
57,0,170.9390951514124,173.30140795049635,179.25007431892806,177.86325297114863,100
58,0,170.71613281519984,173.39124793879964,179.3254889732166,177.71524775381658,100
59,0,170.41367206705502,173.55764203058877,179.31758591433865,177.53512028618402,100
60,0,170.05170343694869,173.69344465573369,179.34352646904395,177.50373600968726,100
61,0,169.95293942703293,173.6582929226784,179.22451120322265,177.5470273580018,100
62,0,170.0514899355365,173.55860473927618,179.08177506563126,177.5513342425764,100
63,0,170.21699300678378,173.4772389144867,178.89525936368216,177.55940519338318,100
64,0,170.5718405490777,173.38217281502756,178.5760303247407,177.59307778510455,100
65,0,170.68627660523376,173.3478174993294,178.47833687926988,177.60711346832238,100
66,0,170.7873822959468,173.31410081710635,178.4438166151323,177.6032694471073,100
67,0,170.7996381842903,173.3144434321152,178.47641558524296,177.59567594464417,100
68,0,170.79306435824554,173.33754748663563,178.5186024245799,177.5774189353915,100
69,0,170.76650643262082,173.396523842055,178.56163194475099,177.54875556111384,100
70,0,170.6991075755103,173.49615942137427,178.6522758927158,177.49135063441352,100
71,0,170.58374823146747,173.58475691255762,178.80586643023028,177.45053385730512,100
72,0,170.36099547147316,173.54797647057978,179.07864259082987,177.58072097327945,100
73,0,169.9269798194507,173.50379346347412,179.59980733301575,177.63823095579247,100
74,0,169.546769398021,173.36121648746365,179.18857727780698,177.90379030271453,100
75,0,169.1691605101606,172.9730859764524,178.76003224756195,178.68050942522308,100
76,0,168.71647224551637,172.64722760490594,178.26178889943264,179.33743864303577,100
77,0,168.23314998916976,172.4118751843839,177.5689448164995,179.59359051956355,100
78,0,167.90465007212026,172.1273870557324,177.21465470950582,178.90442039291247,100
79,0,167.41590108362283,172.01422007674176,176.44930708914836,178.2754596736618,100
80,0,167.09217932929792,171.5095506387892,175.77476032726082,177.3382707075108,100
81,0,166.79966693234846,170.75085525109125,174.95825557437783,175.9604083987324,100
82,0,166.59600815955713,170.23741159449457,174.53617422559884,175.29492339359766,100
83,0,166.4375317062967,169.29065830305507,174.1763831037787,174.05923650808523,100
84,0,166.005628454068,168.5798756343774,173.441191078722,173.05947878234946,100
85,0,165.84065054592634,168.20822142254866,173.33302708600738,172.70570578542697,100
86,0,165.56268748474054,167.58598528418864,172.5485138215613,171.80116424830558,100
87,0,165.70212351616854,166.61673075982685,172.19558080340644,170.47798539610181,100
88,0,165.82282891866313,165.71948619952298,171.69580989648995,169.12589494954324,100
89,0,165.67827530774733,165.39174349926768,171.25626304876266,168.39155304399958,100
90,0,164.97125609490928,165.08406018605314,170.47830836198094,167.85741723878803,100
91,0,164.78775187047358,164.44793869147026,170.01425647669663,167.1828312662104,100
92,0,164.4161186725086,163.88833031616912,169.39627611105814,166.5313165693557,100
