Frame,Reps,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Form Quality,Error_Hip_Depth,Error_Back_Straightness,Error_Knee_Caving
0,0,176.00508318960723,169.44955894098035,175.5682172252987,179.49906331178883,100,1,0,0
1,0,175.84431727985364,169.60237585319865,175.6578774341408,179.4982999172163,100,1,0,0
2,0,175.69721495159433,169.68367336744888,175.77193444606766,179.49267233503696,100,0,0,0
3,0,175.62246683905605,169.75316964448888,175.84225121253144,179.4880527565109,100,0,0,0
4,0,175.6167737756541,169.80310564658492,175.8846311451813,179.48365210321384,100,0,0,0
5,0,175.63361107278268,169.85082479609218,175.9632820179067,179.4845453268076,100,0,0,0
6,0,175.62707196300954,169.84918289959043,176.02557808543278,179.49672458689062,100,0,0,0
7,0,175.67919797427922,169.72993323342484,176.039841217544,179.46537632076485,100,0,0,0
8,0,175.8066405916664,169.54412294194535,176.09580928326577,179.3519627726179,100,0,0,0
9,0,175.87494149516434,169.42922738358945,176.1830153630156,179.24461224574486,100,0,0,0
10,0,175.94557160307377,169.23519167732994,176.33203235725875,179.17173558310748,100,0,0,0
11,0,176.03828805303766,169.0553627182348,176.29207342977995,179.15590919493215,100,0,0,0
12,0,175.9248780198341,168.92565247195117,176.36608288480218,179.22054594823905,100,0,0,0
13,0,175.7741285019721,168.66900740726118,176.42473837886368,179.0557803373474,100,0,0,0
14,0,175.33513359129236,168.61782881985346,176.67706352979903,178.88390914279418,100,0,0,0
15,0,174.93435888479,168.63206424263515,177.0914539391632,178.53590941257343,100,0,0,0
16,0,174.4629086821866,168.13917111163744,177.57939440351387,177.29902409623546,100,0,0,0
17,0,173.6502630998532,167.2797459726753,178.97324720530514,175.28979431015077,100,0,0,0
18,0,173.13844177038425,166.42364457736952,179.4597578094064,173.49018833582312,100,0,0,0
19,0,172.5380290524492,164.83049601441073,178.27382132482978,170.6661926601616,100,0,0,0
20,0,172.09044119209426,163.07171590448428,177.58257519157536,167.664297930047,100,0,0,0
21,0,171.46507401422383,161.36540652393214,176.6304313928109,165.22168833629013,100,0,0,0
22,0,171.8765706788738,158.68800611214525,176.8469762800209,161.83455063920928,100,0,0,0
23,0,172.40956383291694,156.72080454526076,177.00369645158213,159.35158256913425,100,0,0,0
