Frame,Reps,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Form Quality,Error_Hip_Depth,Error_Back_Straightness,Error_Knee_Caving
0,0,91.99915106030238,72.01633543817935,134.93373529067816,125.39875820174923,100,0,1,0
1,0,89.19277420525155,72.75705681936263,131.06244854744918,124.11822553220597,100,0,1,0
2,0,86.71700901952659,75.95259503794308,122.78358510866119,123.04458595932981,100,0,1,0
3,0,88.55802218017082,79.45090262371252,121.29240410061509,122.4966690533497,100,0,1,0
4,0,89.80502117122427,83.58383267712756,120.03217336137077,122.75763739337557,100,0,1,0
5,0,91.01829955174884,84.85354765895003,118.50962846517749,122.34587841464172,100,0,1,0
6,0,91.67903526669416,85.59421324678578,118.79951733556902,122.69581022986624,100,0,1,0
7,0,92.76775541283462,86.98957322693927,118.52348527926091,124.51114862595016,100,0,1,0
8,0,93.65147977656027,89.98034437837308,118.88418003959833,124.68031995059857,100,0,1,0
9,0,94.21635235773071,92.27720395572968,119.42398592260724,125.79374197886455,100,0,1,0
10,0,93.7301705773108,93.36796359378434,119.19650831840978,127.80627947656933,100,0,1,0
11,0,94.26236824392706,94.02341485617195,119.16204971896106,128.37452394886648,100,0,1,0
12,0,94.5988202387721,93.70809101458033,119.48980943033682,128.98119275357524,100,0,1,0
13,0,94.55657943131541,92.82118551937992,119.91273128534624,131.02035187750113,100,0,1,0
14,0,93.90397874363101,92.71774066060784,120.14936515055525,131.6820189110981,100,0,1,0
15,0,93.71584914984726,92.61273779284376,120.93077420062671,131.47735845355425,100,0,1,0
16,0,93.84724876767966,92.62817529915529,121.48784810873097,132.20356352977225,100,0,1,0
17,0,94.37261821970193,93.20675053934417,122.89898572803502,133.94367201657872,100,0,1,0
18,0,95.15613731345402,94.3221496478073,125.70012045281275,136.29480611233424,100,0,1,0
19,0,94.12105407430836,93.24138911321596,127.08138009469933,136.64124017692754,100,0,1,0
20,0,94.0362871127116,92.10460612568627,128.63823984012342,137.36992453685718,100,0,1,0
21,0,94.0803817022672,92.27627244332675,129.4839976398657,138.27850955364116,100,0,1,0
22,0,94.2665342373517,92.7875244490333,129.7308740093923,137.96323319740748,100,0,1,0
23,0,94.76982102424076,92.89233022964787,130.85365677826692,139.17471299974224,100,0,1,0
24,0,95.06354911607619,93.67089221826369,132.38691771130382,141.239766830477,100,0,1,0
25,0,96.2722116001282,94.22487543271896,133.25521720599633,142.47479416049794,100,0,1,0
26,0,98.39755178059997,95.94570205785384,135.51450491445385,144.85079015618433,100,0,1,0
27,0,100.29149248137304,97.61203327734894,133.7114401418128,142.70668632648236,100,0,1,0
28,0,101.67072260739012,98.78729704026539,135.9081854772415,144.54730316838214,100,0,1,0
29,0,103.51180156515143,100.61492801297683,137.61855516248337,147.4371363627641,100,0,1,0
30,0,104.28500245145159,101.39426890321059,139.16146494953162,148.39589297691455,100,0,1,0
31,0,106.37232512323189,101.00534899445906,141.8584115175457,146.77607685422868,100,0,1,0
32,0,107.19158489904308,101.84847113625109,140.75673714442874,145.25615989583108,100,0,1,0
33,0,108.46296218265877,103.51346639572651,141.93920582588964,145.91496734369366,100,0,1,0
34,0,109.1842613472919,104.88590129881891,142.1549307460667,147.04726863366332,100,0,1,0
35,0,110.50331811045486,107.06305886442162,143.15349711169262,149.45361701534318,100,0,1,0
36,0,111.7569569384111,107.55897268140608,144.25477979317097,149.9276747901185,100,0,1,0
37,0,112.28311919657106,109.24749514953449,144.9455559439554,151.0627980236202,100,0,1,0
38,0,113.0964203032603,110.14004735804464,145.82096428185133,151.35704245292962,100,0,1,0
39,0,113.22299682665079,110.70765275250075,146.44379376517435,151.7086468924205,100,0,1,0
40,0,114.89249250018467,112.20428130688114,146.0173004028979,151.6892083919992,100,0,1,0
41,0,115.97740986519466,112.21720979417339,145.1673336921594,150.06141689620918,100,0,1,0
42,0,118.08670894241409,113.18098528214732,143.49115806802106,149.2600263208831,100,0,1,0
43,0,119.86097460693091,114.421528453161,145.70792751733947,150.16701402741444,100,0,1,0
44,0,121.19535559735091,116.39734661819881,147.03663709640233,151.83663346317286,100,0,1,0
45,0,123.95292891438173,118.07804184140599,149.27922858841234,152.80360344165138,100,0,1,0
46,0,124.58074131720727,119.37022153494608,149.38658052278936,154.10001605224298,100,0,1,0
47,0,125.38541801137264,121.02332196844895,149.29599286426415,155.06375093629453,100,0,1,0
