Frame,Reps,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Form Quality,Error_Hip_Depth,Error_Back_Straightness,Error_Knee_Caving
0,0,173.49783621980865,172.87992582944702,172.77746510713322,175.51092661768413,100,1,0,0
1,0,173.9615464766613,172.93439824503895,173.31918092002155,175.5393251372479,100,1,0,0
2,0,174.1521084069097,172.98756630023237,173.64792207486482,175.6830154300071,100,1,0,0
3,0,174.2767345067841,172.9976478807988,173.97659965620932,175.7988124685712,100,1,0,0
4,0,174.36767774974888,172.92558563744504,174.37710849994085,175.75425742604472,100,0,0,0
5,0,174.39632699755933,172.92351247472345,174.44808514903923,175.79418946980732,100,0,0,0
6,0,174.4330262551214,172.9463382484808,174.5107327519972,175.78695521622137,100,0,0,0
7,0,174.43066134323655,172.94344514343712,174.50627809432063,175.70934167758554,100,0,0,0
8,0,174.46162062669987,173.00196583810614,174.49113839296564,175.56573348874613,100,0,0,0
9,0,174.4420982238038,172.95447147165913,174.5267757835321,175.46874195560204,100,0,0,0
10,0,174.28506598216924,172.87569130666006,174.6309123822153,175.25559487152103,100,0,0,0
11,0,174.2175271633239,172.81270300434983,175.08909250455233,175.25628142692977,100,0,0,0
12,0,174.1664296583796,172.72240207244928,175.50407728198934,175.23811594235966,100,0,0,0
13,0,174.15335497101793,172.68697818215165,175.55521083291913,175.2286875207864,100,0,0,0
14,0,174.1721965025987,172.64679564499866,175.57383095398797,175.23913631852398,100,0,0,0
15,0,174.2392373145404,172.63753784645166,175.74386886557187,175.23437746855976,100,0,0,0
16,0,174.25134266774592,172.64679225013617,175.8265575637312,175.2288445212181,100,0,0,0
17,0,174.2608809990282,172.67256210197738,176.04283667183418,175.23436768543553,100,0,0,0
18,0,174.25563302316297,172.6843986628406,176.11175195782894,175.2299392455704,100,0,0,0
19,0,174.25853762441753,172.73812699631821,176.1563906218669,175.26812030962313,100,0,0,0
20,0,174.2587907519442,172.753518814758,176.43687289042916,175.3020184265132,100,0,0,0
21,0,174.2567898350448,172.7403890959097,177.02994642697783,175.3146250401059,100,0,0,0
22,0,174.26247849693112,172.7520258500659,176.98929961754942,175.31783017353297,100,0,0,0
23,0,174.21704358436907,172.74778482976723,176.95574159935597,175.37188036707747,100,0,0,0
24,0,174.09423350820995,172.70007369518888,177.5684214437942,175.51822830485304,100,0,0,0
25,0,173.94352391026322,172.55403427529967,178.14793683477515,175.43177418072702,100,0,0,0
26,0,173.90185469058025,172.29590166471812,178.32448637723408,175.501333409814,100,0,0,0
27,0,173.56694289189028,172.0097433769744,177.9655316631129,175.58989538602071,100,0,0,0
28,0,173.1963620410942,171.53597688755292,177.51025567502745,175.237811554238,100,0,0,0
29,0,172.5927440691039,171.5707680463343,176.54336038612965,176.01051368519393,100,0,0,0
30,0,171.9342258702868,171.11258878079187,175.89483519537708,175.74126594007078,100,0,0,0
31,0,171.2188123741062,170.88068661328583,175.18945061591037,176.15335448526758,100,0,0,0
32,0,170.89821484993365,170.78039588424676,174.5921653753894,176.0117831554653,100,0,0,0
33,0,170.46244621744097,170.51932321312702,173.7804802337832,175.0537030982398,100,0,0,0
34,0,169.5775641379895,170.42405557636775,172.61298034812964,174.25855986395356,100,0,0,0
35,0,168.50984097523616,169.9268613024452,171.57341303989966,173.24246950134733,100,0,0,0
36,0,167.7204201343142,169.2029986826336,170.46146545727237,171.0976479356617,100,0,0,0
37,0,167.20131851232517,168.50196412485514,169.99959350043125,172.5757537664109,100,0,0,0
38,0,165.9981807295163,167.3816134128631,169.0958718734844,173.18990686696765,100,0,0,0
39,0,164.96912179070247,166.54027317321356,168.83629660882605,171.02456439957496,100,0,0,0
40,0,164.27800602511866,165.56852869419419,168.62788907002164,169.7614135629417,100,0,0,0
41,0,163.26450168678983,164.9409260127015,167.51508575221854,169.03826676929492,100,0,0,0
42,0,162.5334745414958,163.96187142273337,166.35080170819393,166.95855720254158,100,0,0,0
43,0,161.58644055109986,162.94724156710913,164.12851265139273,165.06350289590287,100,0,0,0
44,0,160.73272481498913,162.27558632746707,163.0570607393708,163.73481040136545,100,0,0,0
45,0,160.13596318352927,160.528875660322,161.83550595009535,161.09544068794605,100,0,0,0
46,0,159.40422178882517,159.71706858501904,160.70085809927704,160.12965316741736,100,0,1,0
47,0,158.624574728704,159.06157307951983,159.38600404685647,159.64100775490087,100,0,1,0
