Frame,Reps,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Form Quality,Error_Hip_Depth,Error_Back_Straightness,Error_Knee_Caving
21,0,92.723384661089,124.96323763166599,58.45250976285504,79.41030494818307,99,1,1,1
22,0,98.01262205761911,130.90671697468835,60.22748731568403,81.4245238227901,100,1,1,1
23,0,102.65369549732151,137.446901927984,62.09779350170214,84.12835901184567,100,1,1,1
24,0,106.0536130168159,141.5041301140463,63.605858426670615,85.91767746913678,100,1,1,1
25,0,109.6030736835037,144.59712693100712,64.4747737309485,86.75311301795621,100,1,1,1
26,0,112.86035060774448,149.7361301002486,64.82176009678162,89.27069752453683,100,1,1,1
27,0,120.7444251100596,157.8259499408366,67.53821177047823,92.32522277315127,100,1,1,1
28,0,128.08566405832602,166.9439628822272,70.14459852316267,96.36026138726145,100,1,1,1
29,0,134.56235557441647,172.34682660095248,72.08010099234305,98.67489103950794,100,1,1,1
30,0,141.7843992441564,179.4852642385154,75.36882119057952,101.59166771016876,100,1,1,1
31,0,147.30989369656558,174.59361657137623,76.59909474352372,102.17730444131804,100,1,1,1
32,0,154.13108078511186,167.33222576906192,78.80381115666943,105.7158864365207,100,1,1,1
33,0,159.8996414163314,162.5810821978988,81.01189306900315,107.82921530613929,100,1,1,0
34,0,163.36321383320507,161.45930357041323,83.31742902056463,110.46363929171497,100,1,0,0
35,0,166.66283447976542,157.79195308967948,83.76006200376433,115.94843766236215,100,1,0,0
36,0,167.26585431380946,154.1971849542953,82.88017866202792,121.37016737926548,100,1,0,0
37,0,171.43524412126865,147.81532146145895,83.26531672633605,121.37977551490299,100,1,0,0
38,0,172.53216578875555,145.236534464968,83.5246439912194,119.57936165435771,100,1,0,0
39,0,175.993093094837,142.64522313712928,85.59113216382505,124.9767659242845,100,1,0,0
40,0,176.18318521407036,143.47258993786937,86.21964318258672,124.32930700808888,100,1,0,0
41,0,176.5469024437157,144.6673428031076,85.86072880186211,121.32082310458514,100,1,0,0
42,0,176.5856030563164,143.82876145027444,86.1816113401836,121.03812254744344,100,1,0,0
43,0,179.3429565013974,143.65191116095102,88.04083480413627,120.88158473199387,100,1,0,0
44,0,177.04664568958884,142.0195557726931,90.59962710940451,120.23721769313,100,1,0,0
45,0,177.51417653787948,141.54849181427838,90.64713464843261,120.37994744908166,100,1,0,0
46,0,177.84880776050136,142.16934147930883,90.4572772005378,119.30584319076665,100,1,0,0
47,0,177.7672661143851,142.98987883747466,90.39338976836424,120.04885892708357,100,1,0,0
48,0,177.92944943891294,143.36123617020684,90.82058747467116,118.29034970525895,100,1,0,0
49,0,178.51232474814387,142.72030300783032,90.98468576094228,117.55837875983593,100,1,0,0
50,0,178.2451234176581,142.68395318540342,90.34497156953336,117.29705271093985,100,1,0,0
51,0,178.61793608468915,143.13719430253158,89.93389255565837,116.62010841562183,100,1,0,0
52,0,179.19007623535563,143.22099110598924,89.60607072592707,116.58572727678364,100,1,0,0
53,0,178.61796042930064,144.6926851777518,88.71433923470353,115.46811347571804,100,1,0,0
54,0,178.4379742975914,144.80716552039695,88.25120655211298,116.16294067355955,100,1,0,0
55,0,175.92751637630354,145.63821184186415,86.91113246966736,115.93511198989405,100,1,0,0
56,0,173.13387502733735,147.4043421080477,85.08318903943872,113.94507437925502,100,1,0,0
57,0,171.64091392032478,148.88844595064592,84.63766864974846,112.02403354902056,100,1,0,0
58,0,169.71999061755966,149.76310152527392,84.16675706060761,110.95931789164393,100,1,0,0
59,0,166.2255872177365,149.97188292105417,83.5764311776891,111.70956330675776,100,1,0,0
60,0,163.7745533910788,152.3600853447669,82.29326544520914,110.5144494232976,100,1,0,0
61,0,161.91644111363308,154.45481134649773,80.75753399286313,107.84911418591106,100,1,0,0
62,0,160.2009870597013,157.32649252459262,80.16538652084867,106.25471187313816,100,1,0,0
63,0,158.1895941386322,158.9276960207427,80.16708042910317,105.87836411927816,100,1,1,0
64,0,155.7394291965403,159.56289329953754,79.0120441429384,109.14225955997847,100,1,1,1
65,0,154.690955870289,159.82891719968546,78.76490467379416,109.05624792352525,100,1,1,1
66,0,154.3712938165262,159.8904372837349,79.4398192761925,109.8116817665947,100,1,1,1
67,0,151.60423826597204,161.30733394724882,78.81623181487758,109.09730557934054,100,1,1,1
68,0,150.1783218916269,162.63188730207713,78.35128962816518,110.15849015521005,100,1,1,1
69,0,149.16891688320808,163.6936021270288,78.31064654162863,110.62005169455523,100,1,1,1
70,0,149.03823663012872,163.83974558607008,79.50086764719053,111.4975684313402,100,1,1,1
71,0,147.31643320690455,165.76560102874285,79.71023299957685,109.96281359582633,100,1,1,1
72,0,146.0508584722676,167.83331883690641,80.15243039784613,108.60483022677738,100,1,1,0
73,0,143.56294394298726,170.95606943014266,79.63544321256643,105.31898533489367,100,1,1,1
74,0,142.3487850473971,174.79441034125918,78.94986404204293,102.71194693403584,100,1,1,1
75,0,140.55703743654374,177.51823979725415,78.30156236973,100.90676648165461,100,1,1,1
76,0,139.62225082370384,178.81122130305118,77.9093879937779,99.68268647150651,100,1,1,1
77,0,137.87688625306285,179.32434593349439,76.95979536231658,99.02792400996664,100,1,1,1
78,0,136.55392197892036,176.64731303201145,76.30542220623282,97.057695586594,100,1,1,1
79,0,135.65002735417735,175.12445313536583,75.77515205956244,99.3255333420872,100,1,1,1
80,0,134.49123993715946,174.0443319031305,75.49985966559012,98.60904405087719,100,1,1,1
81,0,133.31976886441024,172.6253027491565,75.47306737284016,98.36546674746668,100,1,1,1
82,0,131.95102779124903,171.4271848607826,74.8127694771116,97.46870126925033,100,1,1,1
83,0,131.04128263606955,170.2510152536028,74.7802677483953,96.88700298053108,100,1,1,1
84,0,130.00221174736265,167.60778573237403,74.47088919560943,93.2760380499423,100,1,1,1
85,0,128.60866095861573,166.22743230255952,73.75413691694663,93.52590386610119,100,1,1,1
86,0,127.48851206647042,164.89785012508028,73.31349263754238,92.86387506135492,100,1,1,1
87,0,126.08344166540516,163.03209112403727,72.5096812432011,92.06066311414922,100,1,1,1
88,0,124.41273097453875,161.57506921478392,71.0745705931573,92.12618920404051,100,1,1,1
89,0,121.75590492091546,158.98515816925422,69.51143699486327,90.8768726768823,100,1,1,1
90,0,120.82763811223889,158.22575369663912,69.33346760645038,90.89916491589481,100,1,1,1
91,0,120.1433729711689,156.06122491121852,68.95667029021986,88.92876959795007,100,1,1,1
92,0,119.3388137587272,154.94796318510146,68.60494653622688,88.27023642391326,100,1,1,1
93,0,118.28074749016596,153.31290069629458,68.23722221218387,87.4617679971349,100,1,1,1
94,0,116.72529428578295,151.68298996768925,67.71168991041836,86.95222579570961,100,1,1,1
95,0,115.53790257042895,149.8926954763316,67.55155585213075,86.41140546863082,100,1,1,1
96,0,114.20022792568376,147.53503689614524,67.3982311499723,84.87281359093119,100,1,1,1
97,0,113.29043113415293,146.17131025551652,67.36701684447793,84.87883663579852,100,1,1,1
98,0,111.38770073491253,144.25812349469604,66.69451012518844,84.65554021541875,100,1,1,1
99,0,109.70911902270709,142.82341536345487,66.35037693800078,84.51688902944304,100,1,1,1
100,0,108.75194862162436,142.59885163220656,66.04598548703568,84.64778719996775,100,1,1,1
101,0,107.47228323658558,141.36916898451,65.68880354541456,82.86790212863193,100,1,1,1
102,0,106.09384877801216,140.4295763357832,65.50763028697268,82.08855184086195,100,1,1,1
103,0,104.88923130844286,138.7586609014744,64.92519183347927,81.95901204588223,100,1,1,1
104,0,103.90182723616726,137.1591650902371,65.11163871645468,81.10821482555504,100,1,1,1
105,0,102.94244806054995,135.53081845440985,64.57221096214943,80.49359959388549,100,1,1,1
106,0,102.04415177870163,134.12545912900353,63.60804953630551,79.42735289972693,100,1,1,1
107,0,100.63275733991522,132.717466700901,62.79847206473673,78.37011005629797,100,1,1,1
108,0,99.90528081261682,131.3259331914716,62.32330436014813,77.49484192933075,100,1,1,1
109,0,99.10406000797647,130.10451340067468,61.648647076050985,76.73516304106437,100,1,1,1
110,0,98.93205388002166,128.81052577807216,61.83198184413055,76.46824004107053,100,1,1,1
111,0,98.53658920039794,128.06521981838205,62.0075086371909,76.35013111472044,100,1,1,1
112,0,98.10808321213767,127.94814613024532,62.03425972644695,76.61792454446982,100,1,1,1
113,0,96.95959903237896,126.84770418458612,61.731931050541476,75.97423873136327,100,1,1,1
114,0,96.34083389670397,126.12709621518975,61.60300515734256,75.74789059788843,100,1,1,1
115,0,95.7577278103285,125.70014475404695,61.62623691169788,76.87754228453456,100,1,1,1
116,0,95.37062288709559,124.88210609093018,61.79541513012148,76.56348301096156,100,1,1,1
117,0,94.8699791599151,123.7575681400577,62.06409633892396,76.73859840408426,100,1,1,1
118,0,94.5120672323903,123.12416575887781,62.24360329951073,76.82515828672854,100,1,1,1
119,0,94.11246096813998,121.9620375311493,62.402541918226326,76.61825640776644,100,1,1,1
120,0,93.88671547117399,121.52500146398326,63.12037248343786,76.82364785589927,100,1,1,1
121,0,93.62322568973077,121.20327226656178,63.36309249938187,76.70269740016332,100,1,1,1
122,0,93.59142189342396,120.12346061421279,63.1877848287593,77.03940142287789,100,1,1,1
123,0,93.52631722672145,119.46251313286768,63.652979141059056,75.79278311388016,100,1,1,1
124,0,92.99341392962116,116.27525762987811,63.597950067857035,73.19545933927539,100,1,1,1
125,0,92.62048127822563,115.7175705328008,63.66376563522804,73.1442229458153,100,1,1,1
126,0,92.43246832654546,115.69936520617532,63.91519159262811,73.14270320203579,100,1,1,1
127,0,92.0646332471295,115.69886775000006,64.15499728419627,72.84062765032726,100,1,1,1
128,0,91.80724477881837,115.6175861898611,64.08065375980738,72.85363406119403,100,1,1,1
129,0,91.76901737222848,114.97176830130687,64.53719958143043,73.13227864916057,100,1,1,1
130,0,91.37231420875676,114.18390724911417,64.55549837415168,72.5608551900863,100,1,1,1
131,0,90.96342369598017,113.38692646492505,64.16648348425117,72.12098619307211,100,1,1,1
132,0,90.21208777856316,112.40827675213214,63.27366796607127,71.06793606897175,100,1,1,1
133,0,90.04834572374185,112.35029829004517,63.29255663425918,71.35051114028153,100,1,1,1
134,0,89.58742170307143,112.06897729612272,63.25725745470572,71.2562181933535,100,1,1,1
135,1,89.19746948252023,111.88593485468967,63.190722710653574,71.25090575114612,100,1,1,1
136,1,88.7161170951371,111.8148586942161,62.68181385982225,70.8270943049072,100,1,1,1
137,1,88.57389512490633,109.6399842556824,62.928284134313515,69.28595642003926,100,1,1,1
138,1,88.44826243400557,108.9665802951152,62.905448128581874,69.37690613653238,100,1,1,1
139,1,88.22019373301151,108.87504302553127,62.563396109912226,69.56565087740988,100,1,1,1
140,1,87.6047438198878,108.7884518558787,61.766141552624006,69.45118566873646,100,1,1,1
141,1,87.14071841452999,108.33166774210014,61.42779640954949,69.06530658909179,100,1,1,1
142,1,86.77988266382869,107.39772900248127,61.21432804350688,68.11069884878762,100,1,1,1
143,1,86.60658266762583,106.93121556416385,61.13066927483093,67.80931179700359,100,1,1,1
144,1,86.69053407095241,106.41985509833727,61.34040811698359,67.50950234084222,100,1,1,1
