Frame,Reps,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Form Quality,Error_Hip_Depth,Error_Back_Straightness,Error_Knee_Caving
0,0,174.29922882066055,176.82223358648156,177.5945011404624,178.87731743504668,100,0,0,0
1,0,175.24955311499104,175.9877697108942,178.75594139001637,179.5974611188895,100,0,0,0
2,0,175.7410051782272,175.524454116067,179.14742119233514,179.02773287904998,100,0,0,0
3,0,176.00445315175207,175.38078063807663,179.49440222664782,178.7614835827168,100,0,0,0
4,0,176.12229377397583,175.4018649621098,179.65039765203127,178.76850732375462,100,0,0,0
5,0,176.15948567272622,175.33818784605157,179.64570891587755,178.71088410236044,100,0,0,0
6,0,176.13441212128564,175.35925267415868,179.61567236511536,178.74319326102733,100,0,0,0
7,0,176.17105290662204,175.33064648050342,179.53110475200722,178.77505182500772,100,0,0,0
8,0,176.17399451761523,175.35677716941362,179.4790243193576,178.83177552921072,100,0,0,0
9,0,176.16325508973318,175.39788160432246,179.43338984077872,178.87389329750815,100,0,0,0
10,0,176.1977238251818,175.3887178362417,179.3662087197371,178.96112797843804,100,0,0,0
11,0,176.22782201606907,175.40671638370821,179.33690677311458,178.97477508785008,100,0,0,0
12,0,176.24239697552426,175.4060993308108,179.34339376832034,178.96170331989845,100,0,0,0
13,0,176.25038300296333,175.41701257002947,179.34892867331428,178.9181630454215,100,0,0,0
14,0,176.25561365134027,175.4651274711034,179.37414320500153,178.90251297728733,100,0,0,0
15,0,176.26476281965355,175.5183108575626,179.37468439627048,178.9789723079648,100,0,0,0
16,0,176.26038402149015,175.53253542211337,179.374892259897,179.0179455417391,100,0,0,0
17,0,176.25669684410073,175.55654191660423,179.3696550851266,179.0364890444392,100,0,0,0
18,0,176.24690985814024,175.5847715073986,179.38044715976883,179.05748259183252,100,0,0,0
19,0,176.2314105062351,175.61432770500306,179.38872953451045,179.02680235803692,100,0,0,0
20,0,176.1398959250972,175.69653013605796,179.36013013271943,179.05040283297836,100,0,0,0
21,0,176.1646787591734,175.71894583790964,179.34311842008626,179.03952622447747,100,0,0,0
22,0,176.19850261884375,175.75891435065355,179.3527018238614,179.05418269536256,100,0,0,0
23,0,176.22130133920135,175.75554540945436,179.33525598267494,179.05707969959715,100,0,0,0
24,0,176.14866849292588,175.9119144058175,179.24680403513918,179.1940337912674,100,0,0,0
25,0,176.1446228450107,175.88981851892424,179.24393526717526,179.16874031917112,100,0,0,0
26,0,176.13546634239697,175.8926352434241,179.24387226727623,179.15687449099295,100,0,0,0
27,0,176.0654772405561,176.03152243888812,179.31190417338607,179.19023978056507,100,0,0,0
28,0,176.11278750313488,176.0726930044944,179.39960799582457,179.16155199063567,100,0,0,0
29,0,176.1127449612905,176.18036351431527,179.44391891103817,179.17300016038118,100,0,0,0
30,0,176.09855092641266,176.21972962248176,179.459146171567,179.1790525195631,100,0,0,0
31,0,176.04226569882937,176.19887763648623,179.41812387703223,179.14200063959564,100,0,0,0
32,0,176.02532033130984,176.1642675978348,179.3933061140133,179.10199287011744,100,0,0,0
33,0,176.01986954134716,176.16151781902582,179.40789586787503,179.10329225866678,100,0,0,0
34,0,176.0197782469402,176.10022476967887,179.3951142027247,179.03470240144756,100,0,0,0
35,0,175.930937909351,176.14597265470732,179.41947448341395,179.0159280688129,100,0,0,0
36,0,175.89506110443435,176.13631787580343,179.40832818485256,179.00821012462615,100,0,0,0
37,0,175.8151855198554,176.18372637803162,179.45148796089904,178.98247792443908,100,0,0,0
38,0,175.77088879070726,176.16887172190636,179.4633217093356,178.9151562611588,100,0,0,0
39,0,175.7316220536351,176.11586578433838,179.36155823442365,178.89116344101626,100,0,0,0
40,0,175.7592704943431,175.9615903360083,179.32498458506709,178.7513396471787,100,0,0,0
41,0,175.79493739686694,175.83629190417818,179.29231255082885,178.62031521809547,100,0,0,0
42,0,175.7770145129414,175.83557702063624,179.21144500498636,178.6351931792228,100,0,0,0
43,0,175.74531609755545,175.83979533146905,179.13872285418688,178.63123035575072,100,0,0,0
44,0,175.73310823744654,175.8195007257753,179.11758078784052,178.62115540754664,100,0,0,0
45,0,175.71448438371755,175.78750907976934,179.06561023413593,178.6027742750871,100,0,0,0
46,0,175.70661977731132,175.79003091887128,179.053616400418,178.5853439066509,100,0,0,0
47,0,175.6657536447941,175.81030885721955,179.0509666629542,178.52906078763905,100,0,0,0
48,0,175.68223506088626,175.80772354228657,179.0743364502242,178.54396992139067,100,0,0,0
49,0,175.67976081060675,175.91006848100773,179.14887382423686,178.68865451588502,100,0,0,0
50,0,175.64904787778718,176.01738047517645,179.12068980193314,178.86452108388477,100,0,0,0
51,0,175.64017821112495,176.06981933241767,179.03871022540585,178.99785161994635,100,0,0,0
52,0,175.60737243154205,176.09916553646892,178.93686640377055,179.0571786618236,100,0,0,0
53,0,175.63292342820998,176.1140296993212,178.94205221766165,178.99996668290956,100,0,0,0
54,0,175.72142290963168,176.10830057798577,178.88289371532306,179.0089011150414,100,0,0,0
