Frame,Smoothness
0,10.873065439555504
1,18.632281896117185
2,11.159531122243727
3,14.289458129719598
4,3.2651162326117387
5,9.338615012074186
6,2.1423541010407803
7,22.94341533270382
8,36.19014942819287
9,24.7283619130111
10,43.99619611765968
11,8.576616227530053
12,17.772901807075613
13,6.456323711445364
14,33.062371052918806
15,38.42723266360767
16,10.006227396370875
17,42.058258233374666
18,5.183562378506274
19,2.415229697427314
20,5.171308325848749
21,2.662827396867229
22,23.77564337799887
23,14.981569922732469
24,73.03642003522356
25,31.374685098494744
26,41.046196421503026
27,59.68440038867024
28,2.02162058177629
29,25.511450972055783
30,0.05436123812270921
31,32.087105182671934
32,8.254195003941817
33,30.380075470998456
34,46.610987612898576
35,29.605586784806547
36,37.480771677636916
37,61.53971596931008
38,19.330068849098083
39,37.701583110827336
40,7.687318823861361
41,26.469898859413604
42,7.398453236686251
43,15.730415575269568
44,35.80232812136267
45,6.707048001467307
46,47.39761657991806
47,17.88053051437045
48,26.585620402984134
49,14.927663117683949
50,10.00150108698081
51,12.409448296779587
52,42.15654756634545
53,12.385430052800132
54,46.09694225104097
55,13.739511808351018
56,4.094504507886057
57,1.955053085241218
58,17.12094014894231
59,23.920905299829535
60,6.721975531953106
61,36.63217993973967
62,45.220838270895854
63,21.746324394561235
64,23.248465826594803
65,14.529512240197377
66,9.920183975787054
67,27.62391937990079
68,29.559045343478907
69,12.126321992318978
70,0.2824943276994887
71,11.43853795438261
72,62.0295155529483
73,35.11514704248893
74,42.86824796910425
75,70.36887263415527
76,11.98077603726125
77,27.582864408966643
78,1.341048331634532
79,39.46965949883717
80,16.572523343052225
81,47.27432603029598
82,27.76389479400047
83,21.81185554461468
84,7.886238401441773
85,14.5794942943119
86,16.21959765748973
87,57.35971630088929
88,8.12552893268473
89,20.479700359569847
90,6.700188526416113
91,6.59565550445393
92,42.71004077407659
93,1.7892742136604909
94,21.09018731678176
95,24.954941733898558
96,10.091463150803271
97,53.65695435059322
98,18.43091491411716
99,69.24353211310975
100,25.77026742132636
101,23.962271114065466
102,31.963507621164908
103,14.426829008636389
104,0.9902712197249599
105,1.7164098718813108
106,6.731130649536986
107,7.607566479733634
108,14.303993873550887
109,6.041157832723222
110,32.26820093709047
111,1.471075280131359
112,43.619615459324
113,23.805188756028677
114,2.052789742452809
115,8.843146003352416
116,10.789224717849862
117,28.456087477486847
118,4.548378027446731
119,38.07789792700744
120,18.422780136724683
121,25.51345193165907
122,14.706487156666846
123,5.101862215814101
124,15.390196985237203
125,1.4039600345132754
126,41.070446390297704
127,30.61345182035636
128,37.31571311958865
129,42.68467174010499
130,33.14458462780202
131,27.143462666371015
132,39.34968637183278
133,4.786644240051125
134,51.02710147957268
135,21.42070591165522
136,35.013095105204606
137,24.215002603504196
138,9.252915417621963
139,5.089328186310773
140,1.9281676864630128
141,47.59444466956611
142,37.6850784266803
143,25.334632622967696
144,42.00915890379661
145,8.608989520706189
146,14.486425758264176
147,41.90185969507764
148,37.77933618446324
